TOEFL Score,CGPA,Research
118,9.65,1
107,8.87,1
104,8,1
110,8.67,1
103,8.21,0
115,9.34,1
109,8.2,1
101,7.9,0
102,8,0
108,8.6,0
106,8.4,1
111,9,1
112,9.1,1
109,8,1
104,8.2,1
105,8.3,0
107,8.7,0
106,8,1
110,8.8,0
102,8.5,0
107,7.9,1
114,8.4,0
116,9.5,1
119,9.7,1
119,9.8,1
120,9.6,1
109,8.8,0
98,7.5,1
93,7.2,0
99,7.3,0
97,8.1,1
103,8.3,1
118,9.4,1
114,9.6,1
112,9.8,1
110,9.2,1
106,8.4,0
105,7.8,0
105,7.5,0
108,7.7,0
110,8,1
105,8.2,1
107,8.5,1
117,9.1,0
113,9.4,1
110,9.1,1
114,9.3,1
119,9.7,0
110,8.85,1
111,8.4,1
98,8.3,1
100,7.9,1
116,8,1
112,8.1,1
110,8,0
103,7.7,0
102,7.4,0
99,7.6,0
99,6.8,1
104,8.3,0
100,8.1,0
101,8.2,0
105,8.2,1
107,8.5,1
111,8.7,0
112,8.92,0
114,9.02,0
107,8.64,1
109,9.22,1
115,9.16,1
118,9.64,1
112,9.76,1
111,9.45,1
108,9.04,1
106,8.9,0
114,8.56,1
112,8.72,1
99,8.22,0
95,7.54,1
93,7.36,0
105,8.02,1
120,9.5,1
110,9.22,1
115,9.36,1
115,9.45,1
103,8.66,0
106,8.42,0
107,8.28,0
108,8.14,0
109,8.76,1
106,7.92,1
97,7.66,0
98,8.03,0
97,7.88,1
99,7.66,0
100,7.84,0
100,8,0
120,8.96,1
119,9.24,1
113,8.88,1
107,8.46,1
105,8.12,0
106,8.25,0
104,8.47,0
112,9.05,1
110,8.78,1
111,9.18,1
117,9.46,1
116,9.38,1
103,8.64,0
108,8.48,0
109,8.68,1
107,8.34,1
110,8.56,0
105,8.45,1
106,9.04,1
102,8.62,0
104,7.46,0
99,7.28,0
104,8.84,1
117,9.56,1
119,9.48,1
106,8.36,0
108,8.22,0
106,8.47,0
100,8.66,1
113,9.32,1
112,8.71,1
112,9.1,1
118,9.35,1
114,9.76,1
105,8.65,0
105,8.56,0
112,8.78,0
113,9.28,1
109,8.77,1
103,8.45,0
100,8.16,1
116,9.08,1
109,9.12,0
110,9.15,1
